Item#,U 08/2020,U 07/2020,U 06/2020,U 05/2020,U 04/2020,U 03/2020,U 02/2020,U 01/2020,U 12/2019,U 11/2019,U 10/2019,U 09/2019
MEM-DR432L-CL01-ER29,22164,"23,291","8,986","29,952","37,151","15,177","16,125","10,385","7,837","24,825","15,667","6,549"
MEM-DR432L-HL01-ER29,13409,"8,038","11,555","14,859","15,913","24,341","12,156","8,339","7,926","5,963","5,217","11,324"
MEM-DR432L-SL02-ER32,10939,875,"1,185","10,700","5,112","16,654","5,828","1,246","4,101",820,264,48
MEM-DR464L-CL01-ER29,9158,"11,921","10,527","8,840","9,440","16,129","16,413","4,083","9,179","2,204","1,760",914
MEM-DR432L-SL01-EI12,9048,"6,104","9,308","6,286","12,096","5,574","5,154","14,467","3,943","9,172","1,729","1,921"
MEM-DR416L-CL07-ER26,8687,"3,781","18,018","7,059","7,420","6,143","23,359","9,503","16,259","21,163","16,480","27,863"
MEM-DR432L-SL03-ER26,8322,"11,855","21,258","17,894","11,514","24,746","29,693","8,830","32,923","47,019","49,871","34,253"
MEM-DR416L-CL01-ER29,7422,"2,520","7,386","8,157","4,262","9,750","7,638","1,264","5,673","3,197","3,251","1,860"
MEM-DR464L-SL04-NI22,7073,"10,425",822,"6,489","11,795","7,002","3,139","8,342","5,573","3,903","3,998",702
MEM-DR432L-SL06-NI22,6729,"12,181","4,678","3,486","13,105","26,882","10,247","14,904","12,020","9,728","9,186","4,432"
MEM-DR464L-CL02-LR29,6032,0,0,24,200,0,0,0,0,0,0,0
MEM-DR432L-HL01-EI12,5946,"9,216",176,"3,872","3,552",0,0,0,0,0,0,0
MEM-DR432L-SL01-ER29,5869,"8,753","9,385","14,167","24,466","14,577","10,053","6,073","1,717","3,582","4,036","8,683"
MEM-DR432L-CV02-EU26,5858,"1,348","22,797","20,673","8,029","3,551","1,450",794,182,"1,316",0,0
MEM-DR432L-CL04-ER32,5599,"1,232",228,"1,128","1,232",522,"1,471",0,88,0,0,0
MEM-DR480L-HL05-ER26,3874,"4,157","3,053","1,502","3,186","3,020","2,278","2,947","3,377","1,843","3,418",721
MEM-DR416L-CV01-ER32,3757,"5,662","1,628","2,020",6,0,24,0,0,8,0,80
MEM-DR464L-SL01-ER29,3378,"6,109","9,332","2,701","9,687","8,814","7,497","2,461","5,494","3,763","1,956","2,327"
MEM-DR416L-HL04-ER29,3326,"7,402","24,381","2,551","1,713","8,132","4,678","6,051","5,670","2,224","2,735","3,055"
MEM-DR464L-SL01-ER32,3097,579,"1,796","1,811",740,"1,092",192,236,201,16,1,0
MEM-DR480L-CL01-ER29,3087,"2,204","4,687","1,370","1,749","1,985","1,891","1,576",858,"1,847","1,462",798
MEM-DR416L-HL01-ER32,3039,"2,600","3,201","2,879","1,781","2,807","4,970","2,821","5,114","1,518","2,469","3,362"
MEM-DR432L-CL03-ER26,2490,"2,250","4,484","5,065","4,546","8,242","9,528","12,841","11,809","11,440","9,207","15,085"
MEM-DR416L-SL04-ER26,2119,"7,353","2,319","5,816","6,519","6,019","5,062","8,277","12,083","6,935","7,812","5,925"
MEM-DR464L-HL02-ER32,2091,232,"19,557","1,923","1,401","1,797","4,891","2,852","3,109",64,234,366
MEM-DR416L-SL02-ER29,2057,"2,453","4,348","6,185",855,"2,781","2,472","2,770","4,769","2,192","2,212","2,546"
MEM-DR464L-HL02-ER29,2014,"1,045","3,141","33,422","7,706","1,503","3,728",703,"2,824","1,112","1,125","2,270"
MEM-DR480L-CL02-ER26,1911,"2,962","2,412","2,109","2,946","3,300","3,876","3,695","8,998","6,704","7,618","6,379"
MEM-DR432L-HL03-ER26,1878,"3,666","3,927","2,875","4,115","2,125","7,329","5,030","8,764","5,345","7,751","3,807"
MEM-DR416L-CV02-EU26,1820,"3,021","5,253","4,419","4,161","7,892","3,672","5,753","19,420","4,635","10,000","5,213"
MEM-DR464L-CL02-ER32,1816,"2,225","1,616",352,"1,366",296,"1,638",200,204,266,200,128
MEM-DR416L-HL02-ER32,1704,"1,624",10,0,68,0,0,0,0,0,0,0
MEM-DR416L-HL06-ER26,1241,"1,906","1,651","2,159","3,745","5,944","4,348","3,911","8,921","2,664","1,911","4,754"
MEM-DR432L-SL05-NI22,1219,"1,727",231,157,"1,167",0,28,"1,456","3,602",720,"1,346","12,761"
MEM-DR464L-CL02-FI016,1153,"1,776",96,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL01-EU26,1149,470,309,518,643,"1,655",532,520,437,463,944,948
MEM-IDSAVE1-032G-II008,1100,768,"2,013",681,"1,317","1,231",960,"1,837","1,031",669,"1,064",410
MEM-DR480L-IL01-II008,1009,0,"1,121",932,800,880,160,800,580,350,476,200
MEM-DR432L-HL01-ER32,978,"2,004","1,066","1,717","21,200",742,"7,303","6,853","11,225","9,976","12,577","4,216"
MEM-DR432L-CL02-ER26,918,64,18,24,111,6,6,8,0,0,18,14
MEM-DR464L-SL01-FI016,912,0,0,0,0,0,0,0,0,0,0,0
MEM-FRU-U32GB-G6-NI22,867,"1,779","1,417","1,200","1,249","2,074","1,908","2,178","1,944","2,124",840,"1,143"
MEM-DR432L-SL02-ER24,862,"1,813","1,919",753,"1,931","3,887","2,391","3,018","11,250","1,053","3,158","5,639"
MEM-DR464L-CL02-NI22,841,"3,232","5,987",810,6,0,0,48,0,0,0,0
MEM-DR416L-SL06-ER24,792,543,"1,077",758,"1,644",407,482,783,598,926,"2,713",450
MEM-DR432L-SL03-ER29,692,88,36,270,12,108,0,0,0,0,0,0
MEM-DR416L-SL01-ER32,678,358,631,397,112,73,384,906,989,252,425,4
MEM-DR416L-CL06-ER24,674,4,0,0,0,7,0,0,0,0,0,0
MEM-DR432L-HL02-ER32,669,582,20,16,456,12,0,0,0,0,0,0
MEM-DR480L-HL01-ER29,669,591,538,"2,502","1,543","2,467","1,248","2,412","3,043",257,48,160
MEM-DR432L-SL01-EU26,633,7,547,220,18,32,144,18,22,125,65,94
MEM-DR432L-CV01-ER29,566,350,"4,696",42,280,12,436,0,50,0,0,0
MEM-DR416L-CL03-ER29,454,8,"2,444","1,040","1,036",200,0,0,0,0,0,0
MEM-DR416L-SL04-NI22,410,194,180,218,452,330,264,530,713,344,872,220
MEM-DR412L-SL01-ER29,402,747,652,131,334,112,192,56,240,56,52,49
MEM-DR416L-CV03-EU26,388,284,233,0,0,0,0,0,0,0,0,0
MEM-DR464L-SL01-LR26,381,844,403,973,"2,262","1,174","2,019",742,627,"1,618",396,"2,338"
MEM-IDSAVS2-008G,371,254,140,0,0,30,40,40,100,0,0,0
MEM-DR432L-CL04-NI22,370,"1,181","3,692","24,194","20,551","9,430","6,300",45,"4,567","4,543","12,366","1,870"
MEM-DR464L-HL03-LR26,353,591,274,449,440,"3,606",714,"1,476","1,220",630,"1,321",483
MEM-DR416L-SL02-ER32,348,40,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-IL04-EU16,336,669,10,349,4,44,9,0,0,0,0,0
MEM-DR464L-SL02-NI22,302,384,181,240,127,401,417,740,"1,713","1,302",762,"1,730"
MEM-DR340L-AT01-PS027,300,0,200,400,292,0,0,0,0,0,0,0
MEM-DR416L-CL01-ER32,279,1,84,16,8,0,40,448,260,617,270,80
MEM-DR464L-SL03-LR26,241,806,"4,545",443,"2,875","1,812","3,216","1,795","4,041","6,753","5,784","3,170"
MEM-DR416L-HL01-EU26,238,285,624,"1,368","1,491","1,230","1,390",933,620,555,765,148
MEM-DR480L-HL01-ER32,216,309,"1,182",528,411,"1,638",392,411,228,64,536,250
MEM-DR340L-CL01-NV16,210,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL04-SO16,210,124,362,300,6,17,9,0,0,0,0,0
MEM-DR380L-IL02-ES16,189,28,15,26,142,490,66,16,132,93,155,24
MEM-DR432L-CL02-ER29,178,152,729,604,170,"1,440",300,0,0,0,0,0
MEM-DR416L-SL01-ER21,161,8,0,0,0,0,0,0,0,1,0,34
MEM-DR480L-CL01-ER21,148,186,182,150,107,93,412,172,443,367,245,0
MEM-DR432L-HL01-EU29,145,25,266,195,235,59,0,12,4,0,0,0
MEM-DR464L-CL02-LR26,144,189,"13,064","3,626",407,"3,802",413,989,"7,033","1,145","2,793","9,554"
MEM-DR480L-CL02-UN26,136,20,0,28,23,32,22,325,68,150,240,11
MEM-DR432L-SL01-ER24,134,104,0,4,0,"1,054",0,4,1,130,84,180
MEM-FRU-U16GB-26A-NI22,128,256,188,184,256,170,178,376,308,152,198,0
MEM-FRU-U64LR4-26A-NI22,128,248,224,178,300,596,45,64,96,540,224,64
MEM-DR416L-SL03-ER29,124,124,"1,494",166,0,75,0,0,0,0,0,0
MEM-DR416L-SL02-ER24,106,6,7,0,0,254,0,90,80,324,10,126
MEM-DR416L-CL01-UN26,99,58,5,11,61,28,45,236,108,259,78,256
MEM-DR480L-SL01-SO26,99,302,140,77,177,527,131,83,12,906,351,114
MEM-DR464L-CL03-ER32,98,32,40,0,0,0,128,0,0,0,0,0
MEM-DR432L-CL06-ER26,96,0,0,0,0,0,0,0,0,0,0,0
MEM-IAEP-NMA1XXD128GPSU,96,14,25,89,41,16,46,31,65,116,70,56
MEM-DR416L-CL02-ER29,91,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-IL03-EU16,90,1,4,0,204,"1,720",65,0,0,0,0,0
MEM-IDSAVM1C-256G-TS033,84,113,0,130,188,0,0,0,0,0,0,0
MEM-FRU-U32GB-G7-NI22,80,40,45,13,5,64,32,4,0,1,0,0
MEM-DR416L-CL01-NV29,75,100,99,32,6,40,18,38,312,106,20,32
MEM-DR412L-CL02-LR26,72,0,26,0,49,86,202,324,149,575,206,205
MEM-DR432L-SV01-ER24,72,36,"2,090",500,0,232,946,153,"1,280",620,"1,722","1,882"
MEM-IDSAHM3A-064G,71,104,"1,706",368,573,20,7,0,119,0,0,0
MEM-DR425L-SL01-ER29,64,19,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-HL02-ES16,51,0,1,4,0,0,2,0,0,400,0,100
MEM-DR416L-CV01-EU26,51,8,57,0,0,0,0,0,0,6,0,0
MEM-DR416L-CV03-EU24,48,95,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL03-TS033,48,100,38,46,77,44,67,57,26,12,3,0
MEM-DR480L-CL03-ER26,46,113,84,187,137,412,"2,385","1,958","1,258","1,685","5,466","3,935"
MEM-FRU-U32GB-G7-B-NI22,41,70,268,220,162,208,19,35,558,72,94,0
MEM-IDSAVM8A-256G,41,0,0,10,0,0,2,2,0,0,0,0
MEM-DR416L-SL03-NI22,35,124,0,0,18,0,56,152,12,0,0,0
MEM-DR432L-SL02-ER26,34,80,0,"1,220",0,"4,635","7,450","2,694","12,389",188,"6,476","4,811"
MEM-DR432L-SL03-EI12,34,"2,950","1,433",38,67,36,0,2,21,56,244,371
MEM-DR464L-HL01-LR26,34,1,6,2,3,2,13,14,230,504,661,274
MEM-DR432L-CL05-ER26,33,5,0,0,49,13,36,3,0,0,4,0
MEM-IDSAVT1-032G,30,0,0,0,11,0,2,0,0,0,0,0
MEM-DR380L-IV02-EU16,28,143,300,216,294,452,145,152,240,328,862,637
MEM-DR432L-HL03-NI22,28,0,7,0,0,0,51,0,0,16,130,0
MEM-DR480L-SL01-ER21,28,0,4,0,0,1,0,0,0,3,0,0
MEM-FRU-32GB-G6-NI22,28,0,0,0,0,0,32,0,0,0,130,0
MEM-DR432L-CL01-LR26,27,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-HL01-ER26,27,49,204,125,77,8,12,39,0,268,94,707
MEM-FRU-U64GB-G7-NI22,26,2,0,0,118,0,3,0,0,15,264,0
MEM-DR416L-CL01-ES26,25,3,102,51,108,14,5,35,100,46,243,21
MEM-DR416L-IL01-SO26,25,3,0,0,17,0,0,0,0,0,0,0
MEM-FRU-KIT-DR480L-TS033,25,48,15,0,0,0,0,0,0,0,0,0
MEM-IDSAVT1-256G,25,4,0,4,0,0,1,1,2,3,0,0
MEM-DR316L-AT01-KL002,24,64,272,256,769,208,8,0,168,160,448,160
MEM-DR432L-CL01-ER32,24,0,24,16,16,516,0,0,0,0,64,32
MEM-DR464L-CL01-ER26,24,0,0,0,0,0,0,0,0,0,0,0
MEM-FRU-32GB-G7-B-NI22,24,0,0,0,0,0,0,0,0,0,192,464
MEM-DR340L-IL02-SO16,23,17,0,2,412,"1,665",794,979,920,972,573,"1,605"
MEM-DR416L-CL06-ER26,20,4,17,0,0,1,0,8,0,0,1,0
MEM-DR480L-CL01-SO26,20,21,78,33,23,26,100,58,45,116,40,47
MEM-SPUAVM1-004G,20,0,0,0,0,0,0,0,0,"4,856",275,70
MEM-DR432L-CL03-EI12,18,5,15,149,6,28,6,7,21,9,7,6
MEM-DR464L-CL01-LR29,18,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-AT01-KL002,16,128,"1,256",0,618,72,24,18,518,504,364,384
MEM-DR432L-CL05-ER32,16,0,0,0,0,128,0,0,0,0,0,0
MEM-DR480L-IL03-SO26,16,0,70,32,35,0,1,0,2,0,0,0
MEM-DR416L-CV01-ER26,15,2,132,204,4,4,77,0,8,0,0,0
MEM-IDSAVM8A-064G,15,20,40,14,1,11,23,40,25,0,0,0
MEM-APU9HM2-016G-CS045,14,8,0,0,0,0,0,0,0,0,1,0
MEM-DR416L-HL03-ER26,14,2,40,58,111,0,0,52,"1,107",6,227,208
MEM-DR416L-SL01-EU24,14,32,164,0,4,46,559,288,104,47,35,27
MEM-DR416L-CV02-ER26,13,0,35,"1,906","3,032","1,658","1,560","4,762","6,121","1,032","2,593","11,620"
MEM-DR416L-HV01-EU24,12,0,101,16,4,23,9,66,632,"1,972","1,272","1,248"
MEM-DR432L-CL01-ER26,12,0,38,3,27,39,41,"1,139",270,159,728,823
MEM-DR480L-SL02-ER26,12,1,0,0,2,104,2,1,0,3,0,21
MEM-DR340L-HL03-ER16,10,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-AL01-NV29,10,8,0,11,27,2,0,2,0,0,2,0
MEM-DR416L-CL03-ER24,10,100,59,0,0,0,0,16,20,133,0,17
MEM-DR416L-IL01-ER26,10,6,0,3,0,0,0,0,0,0,0,0
MEM-DR416L-SL01-EU29,10,77,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-CL02-ER24,10,0,12,0,0,0,0,0,0,0,43,0
MEM-DR432L-HL02-ER24,10,4,62,3,12,25,76,23,0,52,33,10
MEM-DR380L-IL02-SO16,9,2,0,0,1,1,50,0,2,4,2,0
MEM-DR416L-SL04-ER24,9,57,50,17,129,331,0,0,133,47,1,59
MEM-DR432L-CV02-ER24,9,0,0,0,12,0,0,42,40,200,1,10
MEM-FRU-D432GB01-RI13,9,4,11,4,7,17,0,7,0,16,15,16
MEM-IDSAHM3A-032G,9,20,11,0,0,0,0,12,1,0,0,0
MEM-IDSAVE1-128G,9,11,7,1,22,2,11,70,0,33,22,3
MEM-IDSAVM8A-128G,9,32,13,84,92,25,9,194,42,0,0,0
MEM-DR432L-SL04-NI22,8,0,"2,478","1,007","1,314","2,264","4,428","1,404",242,"4,098","2,576","1,780"
MEM-DR464L-HL02-TW08,8,0,"2,964","1,452",0,0,0,0,0,0,0,0
MEM-IAEP-NMA1XXD256GPSU,8,0,32,0,0,14,0,1,15,0,8,4
MEM-KIT-64LR4-26A-NI22,8,72,60,99,543,144,190,784,"2,288",492,"1,538","1,160"
MEM-SMP-BPS512G-QS,8,0,20,32,0,0,0,0,0,0,0,0
MEM-DR416L-SL01-SO26,7,1,17,125,73,84,0,14,0,5,0,4
MEM-DR416L-SL02-ER26,7,33,0,45,207,108,313,417,279,389,210,140
MEM-DR464L-SL01-LR29,7,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-SL01-UN26,6,0,24,6,0,0,20,4,0,0,20,0
MEM-DR432L-HL02-ER29,5,3,244,295,"1,338",77,"9,365","10,513","8,064","4,144","2,800",0
MEM-DR432L-SL02-EI12,5,4,1,29,26,18,238,301,116,1,4,4
MEM-DR464L-SL04-LR26,5,0,0,36,128,17,0,8,620,0,0,2
MEM-IDSAVM8-032G,5,0,0,0,0,0,0,0,10,6,29,28
MEM-DR416L-KL03-NV26,4,0,0,0,0,0,0,0,0,0,0,2
MEM-DR464L-SL01-ER26,4,1,12,34,0,127,0,768,2,0,25,72
MEM-IDSAHT1-256G,4,0,0,0,0,0,0,0,1,0,0,0
MEM-DR416L-CL03-ER32,3,16,0,0,0,64,0,0,0,0,0,0
MEM-IDSAVE1-064G,3,2,364,3,7,13,4,12,53,1,19,10
MEM-DR380L-HL03-EU16,2,0,0,1,0,0,10,0,0,0,2,0
MEM-DR380L-HL09-ER16,2,0,0,0,0,0,0,1,0,0,0,0
MEM-DR464L-CL01-LR26,2,6,3,2,24,10,12,0,4,31,26,22
MEM-DR464L-HL02-EI12,2,0,144,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL03-ER24,2,0,4,201,201,0,59,156,160,8,461,545
MEM-IDSAVM8A-032G,2,15,145,0,95,115,0,12,15,0,0,0
MEM-IDSAVS3-032G,2,0,2,1,8,47,6,17,4,40,27,13
MEM-USB2G-AP-FI005,2,75,10,5,23,0,130,1,71,0,73,10
MEM-DR316L-SL04-ER18,1,4,0,0,0,4,0,2,0,0,0,0
MEM-DR316L-SL06-ER16,1,32,7,224,0,33,0,80,1,61,82,41
MEM-DR332L-SL02-LR18,1,0,0,0,0,0,0,0,0,10,0,0
MEM-DR340L-AL01-ES16,1,200,170,124,390,440,350,302,0,640,620,194
MEM-DR380L-HL05-ER13,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-IL02-SO18,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-CL02-LR24,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-CL02-ER29,1,6,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-CL02-LR24,1,0,0,0,2,0,0,0,0,0,0,0
MEM-DR480L-CL02-UN24,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL02-ER26,1,7,5,5,5,0,22,5,0,0,10,261
MEM-FRU-RD32GB-NI22,1,0,449,76,56,46,"1,079",144,"1,795",160,114,62
MEM-AEP128G-ES1,0,0,16,0,0,0,0,0,0,0,0,0
MEM-APSAVM2-016G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APSAVS1-002G-FI005,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APU9HM1-016G-CS045,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APUAVM2-008G,0,0,0,0,0,0,0,0,0,0,0,0
