Item#,U 08/2020,U 07/2020,U 06/2020,U 05/2020,U 04/2020,U 03/2020,U 02/2020,U 01/2020,U 12/2019,U 11/2019,U 10/2019,U 09/2019
MEM-APUAXX1-016G-PE010,0,0,0,0,0,0,0,0,0,0,70,150
MEM-ATUAXS1-002G-FI005,0,25,0,0,0,0,0,0,0,0,0,0
MEM-ATUAXS3-002G-FI005,0,175,11,11,0,0,0,0,0,0,6,4
MEM-ATUAXS4-002G-FI005,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR220L-CL03-ER6,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR220L-CL03-FB8,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR240L-CL04-ER8,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR316L-AT01-JN001,0,56,86,0,0,0,88,16,0,84,64,160
MEM-DR316L-CL04-ER16,0,0,0,0,0,8,0,0,0,0,80,0
MEM-DR316L-HL02-ER18,0,0,0,0,0,0,3,0,0,0,5,0
MEM-DR316L-HL03-ER16,0,0,0,0,0,0,13,0,0,0,0,0
MEM-DR316L-HL05-ER16,0,0,0,0,0,0,0,1,0,2,0,1
MEM-DR316L-HL06-ER16,0,0,0,0,0,0,0,1,0,0,0,0
MEM-DR316L-IL02-ER18,0,0,10,0,0,0,0,0,0,0,0,0
MEM-DR316L-SL01-ER16,0,0,1,0,0,0,4,0,0,0,0,0
MEM-DR316L-SL02-ER18,0,0,0,0,0,0,0,0,0,0,4,0
MEM-DR316L-SL02-NI22,0,0,0,0,0,0,0,0,0,0,32,0
MEM-DR316L-SL03-ER18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR316L-SL05-ER13,0,0,5,0,0,0,0,0,0,0,0,0
MEM-DR316L-SL05-ER16,0,0,0,0,0,0,16,5,0,2,0,2
MEM-DR320L-CL05-EU13,0,0,0,0,0,0,0,6,0,0,0,0
MEM-DR320L-HL02-ER16,0,0,0,0,0,0,2,0,0,0,0,0
MEM-DR320L-SL04-EU13,0,0,0,0,0,0,25,0,0,0,0,0
MEM-DR332L1-LR18-KL002,0,0,8,0,401,8,0,0,168,0,0,0
MEM-DR332L-SL01-ER13,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR332L-SL01-LR18,0,0,0,4,0,0,0,0,0,0,0,0
MEM-DR332L-SL02-ER13,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR332L-SL04-LR16,0,0,0,0,0,0,0,5,0,17,0,4
MEM-DR340L-HL02-ES16,0,16,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL02-SO16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL02-UN16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL03-ER18,0,0,0,4,0,0,0,0,0,0,0,0
MEM-DR340L-HL03-SO16,0,0,22,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL04-ER16,0,0,0,0,1,6,1,9,0,0,0,0
MEM-DR340L-HL04-EU16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL08-ER13,0,0,0,0,0,0,0,0,4,0,0,0
MEM-DR340L-HV02-EU16,0,0,0,0,0,0,22,0,0,0,0,0
MEM-DR340L-HV03-EU16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL01-UN18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL02-SO13,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL03-SO16,0,0,100,0,8,0,0,0,0,13,0,0
MEM-DR340L-TL02-SO16,0,20,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-TL03-SO16,0,0,125,12,0,100,0,52,0,78,25,10
MEM-DR380L-AL01-PE010,0,0,0,0,0,0,0,0,0,0,280,600
MEM-DR380L-AL02-ER16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-AT01-PS027,0,90,80,400,"1,256",48,0,0,0,0,0,0
MEM-DR380L-CL04-ER16,0,0,0,0,0,0,35,0,0,0,0,0
MEM-DR380L-HL01-ES16,0,0,0,0,7,0,4,0,0,0,0,0
MEM-DR380L-HL02-ER16,0,0,0,0,0,0,8,7,0,0,0,0
MEM-DR380L-HL02-SO16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-HL03-ER13,0,0,0,0,0,0,0,1,0,0,0,0
MEM-DR380L-HL03-ES16,0,0,0,0,0,0,0,0,8,0,0,0
MEM-DR380L-HL03-SO16,0,0,0,0,0,0,1,0,0,0,0,0
MEM-DR380L-HL04-ER18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-HL04-EU16,0,0,1,0,3,2,0,246,522,252,0,470
MEM-DR380L-HL05-ER18,0,0,0,0,1,0,0,0,0,0,0,0
MEM-DR380L-HL05-VI017,0,0,0,0,0,0,0,2,"1,493",0,0,44
MEM-DR380L-HL10-ER16,0,3,0,0,1,0,3,0,0,0,0,6
MEM-DR380L-HV02-EU16,0,0,0,0,0,0,0,12,0,0,0,0
MEM-DR380L-HV03-EU16,0,0,0,0,0,0,10,2,0,1,3,0
MEM-DR380L-IL02-ER18,0,0,0,0,0,0,250,200,350,400,480,470
MEM-DR380L-IL03-ER18,0,0,0,0,4,16,9,0,0,0,0,0
MEM-DR380L-IL03-ES16,0,0,4,152,54,0,9,0,0,0,0,0
MEM-DR380L-IL03-SO18,0,0,2,0,0,0,0,0,0,0,0,0
MEM-DR380L-SL02-ES16,0,0,0,0,0,0,5,0,0,0,0,4
MEM-DR380L-SL02-EU16,0,0,4,0,0,0,2,0,0,0,0,0
MEM-DR380L-SL03-EU16,0,0,0,0,0,2,3,0,0,0,0,361
MEM-DR380L-SL06-ER18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-SL08-ER16,0,0,0,0,0,0,0,16,0,0,0,10
MEM-DR380L-SL10-ER16,0,3,14,0,16,9,2,0,2,10,0,0
MEM-DR380L-SL12-ER16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-SL14-ER16,0,0,22,0,0,100,0,0,0,0,0,1
MEM-DR380L-TL02-SO16,0,0,0,0,0,0,0,0,0,0,0,2
MEM-DR380L-TL03-SO16,0,3,12,0,2,3,0,0,10,45,20,17
MEM-DR380L-WL01-CS045,0,0,"1,209",0,4,0,0,1,0,0,1,0
MEM-DR412L-CL01-ER26,0,0,0,0,1,0,0,0,0,0,0,0
MEM-DR412L-HL01-LR26,0,0,0,0,0,0,0,0,0,12,0,0
MEM-DR412L-SL01-ER32,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR412L-SL01-GT09,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR412L-SL01-NI22,0,0,126,0,0,0,56,0,0,0,124,0
MEM-DR412L-SL02-LR26,0,0,0,0,0,0,0,0,0,0,0,16
MEM-DR416L-AL01-NV24,0,0,0,0,0,6,7,11,7,1,4,19
MEM-DR416L-CL01-ER21,0,0,70,0,0,0,2,0,0,0,0,0
MEM-DR416L-CL01-ER24,0,0,0,0,0,0,20,0,0,0,0,0
MEM-DR416L-CL01-EU21,0,0,0,0,0,0,0,4,0,0,0,0
MEM-DR416L-CL01-NV26,0,2,1,0,1,0,0,1,0,0,0,0
MEM-DR416L-CL01-NV32,0,0,0,0,1,0,16,0,0,0,0,0
MEM-DR416L-CL01-SO26,0,0,2,0,0,0,0,0,2,0,4,2
MEM-DR416L-CL01-UN24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL01-UN32,0,0,0,0,0,0,0,0,0,0,8,0
MEM-DR416L-CL02-ER26,0,0,16,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-ER32,0,100,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-ES24,0,2,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-SO21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-ST031,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL03-ER26,0,1,0,0,1,0,51,1,2,5,0,0
MEM-DR416L-CL05-ER24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL05-ER26,0,0,38,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL05-ER32,0,0,0,88,0,0,0,0,0,0,0,0
MEM-DR416L-CV01-ER21,0,0,0,0,0,0,0,3,0,0,0,0
MEM-DR416L-CV01-ER24,0,0,0,0,0,0,0,0,68,0,0,0
MEM-DR416L-CV01-EU24,0,1,0,5,0,1,0,41,7,2,0,1
MEM-DR416L-CV02-ER24,0,0,0,0,0,0,0,49,34,0,2,3
MEM-DR416L-CV02-EU24,0,0,10,0,4,0,0,0,121,56,27,15
MEM-DR416L-EL01-ER26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-HL01-ER21,0,0,132,0,0,0,0,1,0,0,0,0
MEM-DR416L-HL01-ER24,0,0,4,0,0,0,4,1,0,0,2,12
MEM-DR416L-HL01-ES24,0,0,20,0,4,0,0,0,0,0,0,4
MEM-DR416L-HL01-EU24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-HL01-SO24,0,0,20,0,0,0,0,0,0,0,0,0
MEM-DR416L-HL01-UN24,0,0,1,0,0,1,0,0,0,0,40,0
MEM-DR416L-HL01-UN26,0,4,36,0,0,0,0,0,0,0,0,0
MEM-DR416L-HL02-ER21,0,0,2,0,0,2,7,0,0,0,0,0
MEM-DR416L-HL02-ER26,0,0,0,0,0,0,0,0,0,6,7,3
MEM-DR416L-HL03-ER24,0,6,8,80,720,581,730,123,369,5,60,75
MEM-DR416L-HL04-ER24,0,0,2,0,0,0,7,0,0,0,0,2
MEM-DR416L-HL05-ER29,0,0,0,24,24,0,0,108,"3,852",0,0,0
MEM-DR416L-IL01-UN26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-IL02-ER21,0,0,0,0,0,0,4,0,0,0,0,0
MEM-DR416L-KL01-NV24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-KL03-NV24,0,0,0,0,1,0,0,0,0,0,0,0
MEM-DR416L-SL01-ER24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-SL01-ER26,0,0,0,0,0,0,0,0,0,0,1,0
MEM-DR416L-SL01-EU21,0,0,1,1,0,1,0,1,0,2,0,0
MEM-DR416L-SL01-NV24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-SL01-SO24,0,0,0,0,0,0,0,0,30,20,0,0
MEM-DR416L-SL02-ER21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-SL03-ER26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-SL06-ER26,0,0,1,0,0,13,0,1,10,0,0,7
MEM-DR416L-SL07-ER26,0,0,0,16,0,0,0,0,0,0,0,0
MEM-DR416L-SV01-ER21,0,0,0,0,0,0,5,0,0,0,0,0
MEM-DR416L-TL01-SO24,0,0,0,0,0,0,1,0,0,0,0,0
MEM-DR432L-AL01-NV29,0,0,0,0,0,0,0,0,0,0,0,2
MEM-DR432L-CL01-NV29,0,0,3,0,4,0,0,0,0,0,0,0
MEM-DR432L-CL02-ER32,0,128,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-CL02-NI22,0,0,0,0,0,0,0,0,0,0,27,0
MEM-DR432L-CL03-ER29,0,0,0,0,0,0,8,128,0,0,0,0
MEM-DR432L-CL03-ER32,0,1,0,0,4,0,25,28,212,838,21,18
MEM-DR432L-CL26-II001,0,0,33,0,16,0,0,0,4,1,1,2
MEM-DR432L-CV01-ER24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-CV02-ER32,0,0,25,0,0,0,0,0,0,0,0,0
MEM-DR432L-HL01-ER21,0,0,10,0,0,5,0,4,0,0,0,0
MEM-DR432L-HL01-ER24,0,2,16,3,0,0,0,7,0,0,12,0
MEM-DR432L-HL01-NI22,0,0,0,0,0,0,0,0,0,0,29,0
MEM-DR432L-HL01-SO26,0,1,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-HL02-LR21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-HL03-ER32,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-IL01-ER26,0,14,1,0,1,0,0,0,0,0,0,0
MEM-DR432L-SL01-ER21,0,0,0,0,0,0,0,0,0,0,136,1
MEM-DR432L-SL01-ER26,0,0,0,0,11,0,0,0,0,0,0,0
MEM-DR432L-SL01-LR21,0,7,3,8,0,0,51,8,0,1,18,0
MEM-DR432L-SL01-LR24,0,0,0,0,0,0,4,0,0,0,0,0
MEM-DR432L-SL01-SO26,0,2,0,3,0,1,2,0,0,0,0,0
MEM-DR432L-SL01-ST31,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-SL02-ER29,0,0,0,0,0,0,25,0,0,0,0,0
MEM-DR432L-SL02-LR24,0,1,0,0,0,0,1,0,1,4,0,7
MEM-DR432L-SV01-ER21,0,0,0,0,0,0,9,0,0,0,0,0
MEM-DR440L-CL01-ER24,0,0,0,0,0,2,0,0,0,0,0,0
MEM-DR440L-CL01-EU26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR440L-IL01-SO26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR440L-TL01-SO24,0,0,4,0,0,0,0,0,2,0,0,18
MEM-DR464L-CL01-LR24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-CL02-ER26,0,0,100,0,0,0,0,0,0,0,0,0
MEM-DR464L-CL03-ER29,0,0,0,0,0,0,40,128,0,0,0,0
MEM-DR464L-CL03-LR29,0,24,250,0,0,0,0,0,0,0,0,0
MEM-DR464L-HL01-ER26,0,0,0,0,1,0,0,0,0,0,0,0
MEM-DR464L-HL01-LR21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-HL01-LR24,0,2,0,0,0,3,0,3,0,0,4,1
MEM-DR464L-HL01-LR29,0,0,0,0,2,1,1,0,0,0,0,2
MEM-DR464L-HL02-LR24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-SL01-EI12,0,0,0,0,0,0,690,0,0,0,0,0
MEM-DR464L-SL01-ER21,0,0,0,0,0,0,0,2,0,0,0,0
MEM-DR464L-SL01-ER24,0,0,0,0,0,0,0,0,0,0,1,0
MEM-DR464L-SL01-GT09,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-SL01-LR21,0,0,0,0,0,183,0,0,0,14,1,0
MEM-DR464L-SL01-LR24,0,4,0,1,20,191,42,6,1,32,16,48
MEM-DR464L-SL01-NI22,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-SL02-ER26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-SL02-LR24,0,0,0,0,0,0,0,0,0,0,1,1
MEM-DR464L-SL02-LR26,0,1,1,1,"3,273","3,457",0,0,0,1,"1,269","1,001"
MEM-DR464L-SL03-ER26,0,0,0,0,2,0,0,1,0,0,0,4
MEM-DR464L-SL03-LR26R,0,0,0,0,828,0,0,0,0,0,0,0
MEM-DR464L-SL03-NI22,0,0,0,95,47,288,0,969,"1,507",0,0,0
MEM-DR480L-AL01-NV21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-AL02-NV21,0,0,0,0,0,0,0,1,0,0,275,70
MEM-DR480L-AL03-NV21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-CL01-ER26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-CL01-EU21,0,0,0,0,0,0,4,0,0,0,0,0
MEM-DR480L-CL01-SO24,0,10,0,0,0,0,0,0,2,2,3,0
MEM-DR480L-CL02-ER32,0,128,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-CL03-ER24,0,1,4,0,0,0,0,0,0,284,0,0
MEM-DR480L-CL03-ER32,0,328,52,16,16,4,16,7,1,0,100,0
MEM-DR480L-CL04-ER32,0,8,32,0,0,0,0,0,0,50,0,0
MEM-DR480L-CV01-ER21,0,0,0,0,0,0,0,19,0,0,0,0
MEM-DR480L-CV01-ER24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-EU21-KL002,0,0,8,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL01-ER21,0,0,76,1,0,0,0,4,0,29,0,11
MEM-DR480L-HL01-ER24,0,0,1,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL01-EU21,0,0,0,0,0,0,0,1,0,0,0,0
MEM-DR480L-HL01-SO21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL01-UN21,0,0,0,0,0,0,0,4,0,0,0,0
MEM-DR480L-HL02-ER21,0,0,2,0,0,2,0,0,0,0,0,0
MEM-DR480L-IL01-ER26,0,2,5,0,0,0,0,0,0,0,0,0
MEM-DR480L-IL02-SO26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-KL03-NV21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL01-EU21,0,4,0,0,1,12,8,8,0,0,0,1
MEM-DR480L-SL01-EU24,0,0,0,0,0,0,0,0,0,1,1,0
MEM-DR480L-SL01-NV24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL01-SO24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL01-UN26,0,0,36,0,1,0,0,0,0,0,0,2
MEM-DR480L-SL02-ER24,0,2,33,40,0,3,0,64,0,41,1,2
MEM-DR480L-SL02-NV24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL02-TS033,0,2,44,48,58,15,0,4,25,11,97,55
MEM-DR480L-SL03-ER24,0,0,0,0,4,4,0,0,0,0,0,0
MEM-DR480L-SL03-NV24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-SL04-ER26,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-TL01-SO24,0,0,1,0,0,25,20,24,102,40,20,48
MEM-FRU-128GB-G7-NI22,0,0,0,0,0,24,0,0,0,0,0,0
MEM-FRU-32GB-G7-NI22,0,0,0,0,0,0,0,0,0,0,8,0
MEM-FRU-32GB-NA011,0,0,1,40,0,0,100,0,0,166,0,1
MEM-FRU-64GB-G7-NI22,0,0,0,32,0,0,0,0,0,0,0,0
MEM-FRU-64GB-NA011,0,0,0,10,0,0,50,0,0,36,0,1
MEM-FRU-64LR4-26A-NI22,0,0,0,216,64,24,208,0,70,72,2,0
MEM-FRU-CDE475-CI025,0,0,0,0,0,0,0,0,0,0,0,0
MEM-FRU-CDE480-CI025,0,0,0,0,0,0,0,0,0,0,0,0
MEM-FRU-D416GB01-RI13,0,0,0,0,0,0,0,0,12,0,0,0
MEM-FRU-NX416G-RI13,0,0,0,0,0,0,0,0,3,0,0,0
MEM-FRU-RD16GB-NI22,0,0,40,24,12,56,24,0,12,12,0,162
MEM-FRU-U32GB-G6-2-NI22,0,0,0,0,0,0,0,0,0,0,0,0
MEM-FRU-U32GB-RG4-NI22,0,0,0,0,0,0,0,0,0,0,0,30
MEM-FRU-U64GB-G7-B-NI22,0,0,0,120,6,0,0,0,0,0,0,0
MEM-IAEP-NMA1XXD512GPSU,0,0,0,0,0,0,0,6,0,0,4,0
MEM-IDSAHM1-128G,0,0,0,0,0,0,0,0,0,9,0,0
MEM-IDSAHM2-064G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-IDSAHM3-016G,0,0,0,0,0,0,0,0,0,22,0,0
MEM-IDSAHM3-032G,0,0,0,0,0,0,0,0,2,12,5,0
MEM-IDSAHM3-064G,0,10,1,0,4,0,0,0,30,167,48,"2,420"
MEM-IDSAHM3A-016G,0,2,2,1,0,0,0,0,11,0,0,0
MEM-IDSAHM3A-128G,0,28,0,0,9,0,0,7,0,0,0,0
MEM-IDSAHT1-064G,0,0,0,0,0,0,0,0,0,16,0,0
MEM-IDSAHT1-128G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-IDSAVE1-008G,0,0,0,0,0,0,0,0,0,6,0,0
MEM-IDSAVE1-016G,0,0,0,0,0,0,0,0,0,4,0,0
MEM-IDSAVE1-032G,0,0,0,0,0,0,0,0,24,0,0,95
MEM-IDSAVE1-064G-NI22,0,0,0,0,0,0,0,0,0,0,0,291
MEM-IDSAVE1A-008G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-IDSAVE1A-016G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-IDSAVE1A-032G,0,1,180,1,32,30,0,6,0,0,0,0
MEM-IDSAVE1A-064G-NI22,0,0,0,0,0,0,0,8,0,130,0,193
MEM-IDSAVM1-256G,0,21,4,0,4,0,0,14,61,20,20,41
MEM-IDSAVM1-256G-KL002,0,12,6,0,14,13,0,10,0,0,0,0
MEM-IDSAVM1-256G-TS033,0,0,61,21,9,4,0,0,4,0,0,1
MEM-IDSAVM1A-256G-TS033,0,1,22,6,0,2,0,0,0,0,0,66
MEM-IDSAVM1B-256G-TS033,0,23,3,33,76,184,235,216,127,55,281,153
MEM-IDSAVM2-064G-NI22,0,0,0,0,1,0,0,0,0,0,0,0
MEM-IDSAVM4-064G-NI22,0,0,0,0,1,0,0,0,0,0,0,0
MEM-IDSAVM5-064G,0,2,0,0,0,0,0,0,0,0,0,0
MEM-IDSAVM6-064G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-IDSAVM8-008G,0,0,0,0,0,0,0,0,0,3,0,0
MEM-IDSAVM8-016G,0,0,0,0,0,0,0,0,0,5,0,5
MEM-IDSAVM8-064G,0,1,0,0,0,0,0,0,0,22,72,17
MEM-IDSAVM8-064G-CS045,0,0,62,0,0,1,0,0,0,0,9,50
MEM-IDSAVM8-128G,0,0,18,3,0,0,0,0,0,18,63,60
MEM-IDSAVM8A-008G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-IDSAVM8A-016G,0,0,0,0,10,0,0,4,0,0,0,0
MEM-IDSAVS2-016G,0,1,1,0,0,0,0,0,1,1,0,0
MEM-IDSAVS2-064G,0,0,4,0,6,0,0,0,4,6,0,3
MEM-IDSAVT1-064G,0,0,0,0,0,10,0,0,0,0,0,0
MEM-IDSAVT1-128G,0,0,0,2,0,0,0,1,0,0,0,0
MEM-KDUAXX-016G-JI006,0,0,0,0,5,0,0,1,2,0,105,152
MEM-KIT-DR480L-TS033,0,0,0,0,0,0,0,0,0,0,0,0
MEM-OC480L-AD01-UN38,0,0,8,0,0,0,0,0,0,0,0,0
MEM-SMPAEP128G-QSL,0,1,0,0,0,0,0,0,0,24,0,0
MEM-SMPAEP256G-QSL,0,0,0,0,0,0,0,0,0,24,0,120
MEM-SMPAEP512G-QSL,0,0,0,0,0,0,0,0,0,12,0,0
MEM-SMP-BPS128G-ES0,0,0,0,0,0,0,0,0,8,4,8,0
MEM-SMP-BPS128G-ES1,0,0,0,0,0,0,0,0,24,0,0,0
MEM-SMP-BPS128G-ES2,0,0,8,0,32,1,0,0,0,0,0,0
MEM-SMP-BPS128G-QS,0,10,0,24,8,0,0,0,0,0,0,0
MEM-SMP-BPS256G-ES1,0,0,0,0,0,0,0,0,8,0,0,0
MEM-SMP-BPS256G-ES2,0,0,8,0,14,17,0,0,0,0,0,0
MEM-SMP-BPS256G-QS,0,0,0,24,8,0,0,0,0,0,0,0
MEM-SMP-BPS512G-ES1,0,0,0,0,0,0,0,0,24,0,0,0
MEM-SMP-BPS512G-ES2,0,0,12,0,8,17,4,0,0,0,0,0
MEM-SPUAXM1-016G-SC45B,0,0,0,0,0,0,0,0,0,0,0,0
MEM-UM002GAU-FI005,0,0,0,0,0,0,0,0,0,0,0,0
MEM-USB2G-FI005,0,0,0,7,0,0,0,0,0,0,0,0
NWP-MEM-DR205L-UN01-EU6,0,0,0,0,0,0,8,0,0,0,0,0
